id;agency_id;action_type;action_date;title;description;vendor_name;vendor_id;contract_value;source_url;source_document;meeting_date;confidence_score;extracted_data;created_at;updated_at
7b4f3ce2-d290-42ac-ad57-1455248c98fe;dc154c04-c116-4a1e-a370-ade4c0d29aaa;rfp_authorization;;Platform Structural Rehabilitation Contract Authorization;Authorization to initiate and award a competitive contract for a pilot program to rehabilitate deteriorated platforms at Minnesota Avenue and Deanwood Stations. This includes replacing sections of the platform and changing the tile flooring standard design from hexagonal quarry tile to square porcelain tile, a new standard for all new and future rehabilitated Metrorail Stations.;;;;https://www.wmata.com/about/board/meetings/board-pdfs/upload/111606_Minutes.pdf;;2006-10-19;0.75;"{""action_date"":null,""action_type"":""rfp_authorization"",""contract_value"":null,""description"":""Authorization to initiate and award a competitive contract for a pilot program to rehabilitate deteriorated platforms at Minnesota Avenue and Deanwood Stations. This includes replacing sections of the platform and changing the tile flooring standard design from hexagonal quarry tile to square porcelain tile, a new standard for all new and future rehabilitated Metrorail Stations."",""meeting_date"":""2006-10-19"",""service_category"":""service_delivery"",""service_component"":""infrastructure_maintenance"",""title"":""Platform Structural Rehabilitation Contract Authorization"",""vendor_name"":null}";2026-01-05 06:01:55.634371+00;2026-01-05 06:01:55.634371+00
dff8be74-ccc4-4ea6-a0aa-e627ac955bef;dc154c04-c116-4a1e-a370-ade4c0d29aaa;rfp_authorization;;Authorize competitive contract for Platform Structural Rehabilitation pilot program;Approval to initiate and award a competitive contract for a pilot program to rehabilitate deteriorated platforms at Minnesota Avenue and Deanwood Stations. This includes replacing sections of the platform and changing the tile flooring standard design from hexagonal quarry tile to square porcelain tile, which will also be the new standard for all new and future rehabilitated Metrorail Stations.;;;;https://www.wmata.com/about/board/meetings/board-pdfs/upload/111606_Minutes.pdf;;2006-10-19;0.75;"{""action_date"":null,""action_type"":""rfp_authorization"",""contract_value"":null,""description"":""Approval to initiate and award a competitive contract for a pilot program to rehabilitate deteriorated platforms at Minnesota Avenue and Deanwood Stations. This includes replacing sections of the platform and changing the tile flooring standard design from hexagonal quarry tile to square porcelain tile, which will also be the new standard for all new and future rehabilitated Metrorail Stations."",""meeting_date"":""2006-10-19"",""service_category"":""service_delivery"",""service_component"":""platform rehabilitation"",""title"":""Authorize competitive contract for Platform Structural Rehabilitation pilot program"",""vendor_name"":null}";2026-01-06 06:02:20.679418+00;2026-01-06 06:02:20.679418+00
be1c9b10-b62c-4144-ac45-1d7ec0d943d7;df7a0939-59f0-4af3-b73a-9c7e311c3875;policy_change;2025-09-30;MTA Board Adopts Fare and Toll Increases to Take Effect January 2026;The MTA Board approved toll and fare increases and a series of fare and ticket policy changes for New York City Transit’s subways and buses, Long Island Rail Road (LIRR), and Metro-North Railroad. Changes effective January 2026.;;;;https://www.mta.info/press-release/mta-board-adopts-fare-and-toll-increases-take-effect-january-2026;;2025-09-30;0.75;"{""action_date"":""2025-09-30"",""action_type"":""policy_change"",""contract_value"":null,""description"":""The MTA Board approved toll and fare increases and a series of fare and ticket policy changes for New York City Transit’s subways and buses, Long Island Rail Road (LIRR), and Metro-North Railroad. Changes effective January 2026."",""meeting_date"":""2025-09-30"",""service_category"":""service_delivery"",""service_component"":""fare_structure"",""title"":""MTA Board Adopts Fare and Toll Increases to Take Effect January 2026"",""vendor_name"":null}";2026-01-08 06:00:31.051664+00;2026-01-08 06:00:31.051664+00
7405ee67-6670-4030-aa2e-e7f5836299f6;df7a0939-59f0-4af3-b73a-9c7e311c3875;policy_change;2025-09-30;OMNY Seven-Day Fare-Capping Becomes Permanent;Approved making the 7-day rolling fare cap for subways and local buses permanent. Customers pay for 12 rides in a 7-day period and ride free for the rest of the week, with a cap of $35 for full fare and $17.50 for reduced fare customers. Prepaid MetroCard 7-Day, 30-Day, and Express Bus Plus unlimited passes will retire.;;;;https://www.mta.info/press-release/mta-board-adopts-fare-and-toll-increases-take-effect-january-2026;;2025-09-30;0.75;"{""action_date"":""2025-09-30"",""action_type"":""policy_change"",""contract_value"":null,""description"":""Approved making the 7-day rolling fare cap for subways and local buses permanent. Customers pay for 12 rides in a 7-day period and ride free for the rest of the week, with a cap of $35 for full fare and $17.50 for reduced fare customers. Prepaid MetroCard 7-Day, 30-Day, and Express Bus Plus unlimited passes will retire."",""meeting_date"":""2025-09-30"",""service_category"":""customer_service"",""service_component"":""fare_payment_system"",""title"":""OMNY Seven-Day Fare-Capping Becomes Permanent"",""vendor_name"":null}";2026-01-08 06:00:31.118117+00;2026-01-08 06:00:31.118117+00
65b66e80-de41-4065-8d01-9edc5870e7d9;df7a0939-59f0-4af3-b73a-9c7e311c3875;policy_change;2025-09-30;Fare-Capping Extended to Express Bus Network;Approved extending fare-capping to the express bus network, with customers paying no more than $67 a week for unlimited express bus, local bus, and subway rides in any 7-day period.;;;;https://www.mta.info/press-release/mta-board-adopts-fare-and-toll-increases-take-effect-january-2026;;2025-09-30;0.75;"{""action_date"":""2025-09-30"",""action_type"":""policy_change"",""contract_value"":null,""description"":""Approved extending fare-capping to the express bus network, with customers paying no more than $67 a week for unlimited express bus, local bus, and subway rides in any 7-day period."",""meeting_date"":""2025-09-30"",""service_category"":""customer_service"",""service_component"":""fare_payment_system"",""title"":""Fare-Capping Extended to Express Bus Network"",""vendor_name"":null}";2026-01-08 06:00:31.168391+00;2026-01-08 06:00:31.168391+00
7d2e6849-5f19-4698-b931-cf966741166f;df7a0939-59f0-4af3-b73a-9c7e311c3875;policy_change;2025-09-30;Tap-and-Ride Required for Fare Payment on Subway, Local, and Express Bus;Approved that tap-and-ride will be required for fare payment on subways, local, and express buses. Coins will no longer be accepted on buses beginning later in 2026, but will still be accepted at card vending machines in subway stations.;;;;https://www.mta.info/press-release/mta-board-adopts-fare-and-toll-increases-take-effect-january-2026;;2025-09-30;0.75;"{""action_date"":""2025-09-30"",""action_type"":""policy_change"",""contract_value"":null,""description"":""Approved that tap-and-ride will be required for fare payment on subways, local, and express buses. Coins will no longer be accepted on buses beginning later in 2026, but will still be accepted at card vending machines in subway stations."",""meeting_date"":""2025-09-30"",""service_category"":""customer_service"",""service_component"":""fare_payment_system"",""title"":""Tap-and-Ride Required for Fare Payment on Subway, Local, and Express Bus"",""vendor_name"":null}";2026-01-08 06:00:31.221149+00;2026-01-08 06:00:31.221149+00
6450b165-e8bf-43f9-88cd-bdd1ea727524;df7a0939-59f0-4af3-b73a-9c7e311c3875;policy_change;2025-09-30;Promotional $1 OMNY Card Fee Ends by Mid-2026;Approved the ending of the promotional $1 OMNY card fee. The fee for a new OMNY card will be $2 when MetroCard is no longer accepted for fare payments.;;;;https://www.mta.info/press-release/mta-board-adopts-fare-and-toll-increases-take-effect-january-2026;;2025-09-30;0.75;"{""action_date"":""2025-09-30"",""action_type"":""policy_change"",""contract_value"":null,""description"":""Approved the ending of the promotional $1 OMNY card fee. The fee for a new OMNY card will be $2 when MetroCard is no longer accepted for fare payments."",""meeting_date"":""2025-09-30"",""service_category"":""customer_service"",""service_component"":""fare_payment_system"",""title"":""Promotional $1 OMNY Card Fee Ends by Mid-2026"",""vendor_name"":null}";2026-01-08 06:00:31.258497+00;2026-01-08 06:00:31.258497+00
15770d3b-2bcc-4486-9298-4707755244ff;df7a0939-59f0-4af3-b73a-9c7e311c3875;policy_change;2025-09-30;Universal Reduced-Fare Ticket for Commuter Railroads;Approved a universal reduced-fare ticket for seniors, people with disabilities, and people on Medicare, valid 24/7, including on morning peak trips, for Long Island Rail Road and Metro-North Railroad.;;;;https://www.mta.info/press-release/mta-board-adopts-fare-and-toll-increases-take-effect-january-2026;;2025-09-30;0.75;"{""action_date"":""2025-09-30"",""action_type"":""policy_change"",""contract_value"":null,""description"":""Approved a universal reduced-fare ticket for seniors, people with disabilities, and people on Medicare, valid 24/7, including on morning peak trips, for Long Island Rail Road and Metro-North Railroad."",""meeting_date"":""2025-09-30"",""service_category"":""service_delivery"",""service_component"":""fare_structure"",""title"":""Universal Reduced-Fare Ticket for Commuter Railroads"",""vendor_name"":null}";2026-01-08 06:00:31.288188+00;2026-01-08 06:00:31.288188+00
bb471372-492c-42b6-af20-b92dcbdd23f7;df7a0939-59f0-4af3-b73a-9c7e311c3875;policy_change;2025-09-30;More Affordable Commuter Railroad Trips for Families;Approved raising the eligibility age for a Family Fare ticket from 11 to 17 years old. Children aged 5-17 can ride for $1 when accompanied by a fare-paying adult, including during morning rush hour, on Long Island Rail Road and Metro-North Railroad.;;;;https://www.mta.info/press-release/mta-board-adopts-fare-and-toll-increases-take-effect-january-2026;;2025-09-30;0.75;"{""action_date"":""2025-09-30"",""action_type"":""policy_change"",""contract_value"":null,""description"":""Approved raising the eligibility age for a Family Fare ticket from 11 to 17 years old. Children aged 5-17 can ride for $1 when accompanied by a fare-paying adult, including during morning rush hour, on Long Island Rail Road and Metro-North Railroad."",""meeting_date"":""2025-09-30"",""service_category"":""service_delivery"",""service_component"":""fare_structure"",""title"":""More Affordable Commuter Railroad Trips for Families"",""vendor_name"":null}";2026-01-08 06:00:31.318436+00;2026-01-08 06:00:31.318436+00
fb3dd28b-2408-442b-ae00-f88e8e8914a6;df7a0939-59f0-4af3-b73a-9c7e311c3875;policy_change;2025-09-30;One-Way Commuter Railroad Tickets Valid Until 4:00 a.m. the Next Day;Approved that all one-way Long Island Rail Road and Metro-North Railroad tickets (paper and mobile) will expire at 4:00 a.m. the day after purchase, replacing the previous 60-day validity.;;;;https://www.mta.info/press-release/mta-board-adopts-fare-and-toll-increases-take-effect-january-2026;;2025-09-30;0.75;"{""action_date"":""2025-09-30"",""action_type"":""policy_change"",""contract_value"":null,""description"":""Approved that all one-way Long Island Rail Road and Metro-North Railroad tickets (paper and mobile) will expire at 4:00 a.m. the day after purchase, replacing the previous 60-day validity."",""meeting_date"":""2025-09-30"",""service_category"":""service_delivery"",""service_component"":""fare_structure"",""title"":""One-Way Commuter Railroad Tickets Valid Until 4:00 a.m. the Next Day"",""vendor_name"":null}";2026-01-08 06:00:31.350165+00;2026-01-08 06:00:31.350165+00
