id;article_id;category;created_at
fbd586a8-2116-406e-ad9f-e65c1d0ecce9;1330e6af-1758-4e70-985a-dc38d1b57bf2;Technology;2025-11-09 22:22:57.448825+00
641de17e-956f-403e-a271-e7f06f22a2a2;1330e6af-1758-4e70-985a-dc38d1b57bf2;RFPs & Procurement;2025-11-09 22:22:57.448825+00
639fa8bf-f1aa-4f28-b29b-3f62e08f9f40;1330e6af-1758-4e70-985a-dc38d1b57bf2;Market Trends;2025-11-09 22:22:57.448825+00
a8aabe0c-a118-4896-9dde-e5b7b2b2cb80;cd2afe5b-f3bf-42f2-a9db-da4b081618cd;Funding;2025-11-10 18:38:56.897209+00
74b67815-f163-46f3-bc64-672ef72bee66;cd2afe5b-f3bf-42f2-a9db-da4b081618cd;Government;2025-11-10 18:38:56.897209+00
5bdd6384-d12b-4563-8110-ac4521b4cd49;cd2afe5b-f3bf-42f2-a9db-da4b081618cd;RFPs & Procurement;2025-11-10 18:38:56.897209+00
208b48c9-1c80-4dfd-a645-bd3dccbe7181;cd2afe5b-f3bf-42f2-a9db-da4b081618cd;Technology;2025-11-10 18:38:56.897209+00
31364e59-61ee-4f6d-a58b-59e7c1da9238;cd2afe5b-f3bf-42f2-a9db-da4b081618cd;Market Trends;2025-11-10 18:38:56.897209+00
e489f265-69de-4c6b-8eb3-9bd8e3e6dcbe;6e845d49-d789-4f8b-8d04-fc1902c3c86d;Funding;2025-11-11 17:13:08.013026+00
b0334bf1-650e-4623-a73d-22b1e7f04b58;6e845d49-d789-4f8b-8d04-fc1902c3c86d;Technology Partnerships;2025-11-11 17:13:08.013026+00
0ce89021-579a-4239-b5ec-3548dbb17456;6e845d49-d789-4f8b-8d04-fc1902c3c86d;Microtransit;2025-11-11 17:13:08.013026+00
0fcb7a08-d09f-4911-93b7-c68032a93f76;6e845d49-d789-4f8b-8d04-fc1902c3c86d;Government;2025-11-11 17:13:08.013026+00
