id;article_id;vertical;created_at
8dc28216-0d47-41ed-a8f5-fb12ed8dd473;1330e6af-1758-4e70-985a-dc38d1b57bf2;fixed-route;2025-11-09 22:22:57.005082+00
11a4796c-9a6b-48b3-8d34-a41d8fbe4f05;1330e6af-1758-4e70-985a-dc38d1b57bf2;paratransit;2025-11-09 22:22:57.005082+00
bccabfee-1cbf-4313-b292-9a8ca1d19bef;cd2afe5b-f3bf-42f2-a9db-da4b081618cd;fixed-route;2025-11-10 18:38:56.518635+00
d3c48c80-c5d4-447b-8f54-7cfb38e14a33;cd2afe5b-f3bf-42f2-a9db-da4b081618cd;paratransit;2025-11-10 18:38:56.518635+00
a25ac3b3-ec72-450f-943e-3524a14062aa;6e845d49-d789-4f8b-8d04-fc1902c3c86d;fixed-route;2025-11-11 17:13:07.630256+00
47f11285-4ec5-4453-85b7-939090f5b3e6;6e845d49-d789-4f8b-8d04-fc1902c3c86d;school;2025-11-11 17:13:07.630256+00
8cd82c50-a29d-4e4f-8517-10fd8dc2725b;845cae82-0056-4895-a5e0-b3be42663390;government;2025-11-11 17:24:11.234135+00
ecd48119-5192-485f-a4c6-4a6b99448f04;845cae82-0056-4895-a5e0-b3be42663390;paratransit;2025-11-11 17:24:11.234135+00
c2b3f00e-6909-4e92-b3ec-9235e4443660;bbc9e488-43cd-4280-a30d-fd280d628eb7;paratransit;2025-11-11 17:32:07.504138+00
91b532d4-b8b4-4f94-84ed-5db7801bb5ea;bbc9e488-43cd-4280-a30d-fd280d628eb7;government;2025-11-11 17:32:07.504138+00
abfd2f5f-eda6-4d1b-9863-f34ff641c0ca;7c0eb3ca-ee99-42c4-87bd-36243a1814ae;paratransit;2025-11-11 17:43:08.70002+00
775b7db8-1963-4e32-bd9f-bfd61d7b3c69;7c0eb3ca-ee99-42c4-87bd-36243a1814ae;government;2025-11-11 17:43:08.70002+00
f432cb65-b168-4582-9e6d-5b8843d1387c;101a96d3-babe-4e31-bea0-83c6917d2067;government;2025-11-11 17:46:32.41417+00
081c8b1e-ad45-4d72-a854-53c7091c31f9;f116582a-9f71-4553-a343-cad3db2fc5c0;school;2025-11-11 18:34:07.265728+00
9a065494-b5c7-4be1-8535-925f82dccb5a;d0632956-a51e-4b1d-b4d6-d588a6e5b33b;healthcare;2025-11-11 18:37:28.281526+00
60218dc4-b4e8-4017-9d18-b53d829ddb5f;d0632956-a51e-4b1d-b4d6-d588a6e5b33b;paratransit;2025-11-11 18:37:28.281526+00
1743f12c-03fa-40ed-b870-f9df0145f5e3;86d47732-7e9c-4cdc-b45b-d7e2cd037312;paratransit;2025-11-11 18:45:42.634516+00
ddf129a7-62be-42bd-b651-95a5dda44e39;86d47732-7e9c-4cdc-b45b-d7e2cd037312;healthcare;2025-11-11 18:45:42.634516+00
ed3d7d0c-366e-4211-a11e-4ca056600b80;ad3f650f-8498-43bf-b73a-cd18b408bebb;government;2025-11-13 16:11:04.48339+00
4daaf9be-e6b5-4ae9-aed0-1b8bdabd12ca;28ec98ef-58b3-4d63-96dd-4b4774c744bf;government;2025-11-13 16:53:28.912023+00
