id;search_type;search_query;search_parameters;agency_id;provider_id;frequency;last_run_at;next_run_at;is_active;priority;results_count;total_runs;successful_runs;failed_runs;last_error;tags;notes;created_at;updated_at;created_by
ecf0e770-8c3d-44dd-8f21-2b37961aa11c;agency;"""Washington Metro"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Washington, DC""}";dc154c04-c116-4a1e-a370-ade4c0d29aaa;;daily;2025-11-20 04:39:32.61285+00;2025-11-21 04:39:32.61285+00;true;high;0;1;1;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Washington Metro;2025-11-20 01:34:08.498691+00;2025-11-20 04:39:32.61285+00;2babc540-acbb-4012-a198-971125628657
d0f9d37d-6f4f-4406-9794-73dea211c85c;agency;"""Metro"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Los Angeles, CA""}";5b3dd96c-aa8e-453b-8aea-1f3c8c9c5a8a;;daily;2025-11-20 04:39:36.473081+00;2025-11-21 04:39:36.473081+00;true;medium;0;1;1;0;;"[""agency-news"",""general""]";General news for Metro;2025-11-20 01:34:08.732329+00;2025-11-20 04:39:36.473081+00;2babc540-acbb-4012-a198-971125628657
e59866cc-aa0d-446c-baa5-a8f3b2cf3156;agency;"""Metro"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Los Angeles, CA""}";5b3dd96c-aa8e-453b-8aea-1f3c8c9c5a8a;;daily;2025-11-20 04:39:40.335487+00;2025-11-21 04:39:40.335487+00;true;high;0;1;1;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Metro;2025-11-20 01:34:08.970372+00;2025-11-20 04:39:40.335487+00;2babc540-acbb-4012-a198-971125628657
accd6eea-c232-44c1-a950-20adba704431;agency;"""Chicago Transit Authority"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Chicago, IL""}";6b22499d-50ea-467f-bc47-f41c85f23965;;daily;2025-11-20 04:39:43.950673+00;2025-11-21 04:39:43.950673+00;true;medium;0;1;1;0;;"[""agency-news"",""general""]";General news for Chicago Transit Authority;2025-11-20 01:34:09.207835+00;2025-11-20 04:39:43.950673+00;2babc540-acbb-4012-a198-971125628657
dcdb8cd3-baf3-47a1-a28e-07a2dcca6eb8;agency;"""Chicago Transit Authority"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Chicago, IL""}";6b22499d-50ea-467f-bc47-f41c85f23965;;daily;;2025-11-20 01:34:09.440047+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Chicago Transit Authority;2025-11-20 01:34:09.440047+00;2025-11-20 01:34:09.440047+00;2babc540-acbb-4012-a198-971125628657
55410207-9f4c-484d-8949-144f1125023e;agency;"""King County Metro"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Seattle, WA""}";26994731-0cbf-402f-831a-955a985b4c70;;daily;;2025-11-20 01:34:09.678773+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for King County Metro;2025-11-20 01:34:09.678773+00;2025-11-20 01:34:09.678773+00;2babc540-acbb-4012-a198-971125628657
f07a3c1e-a902-449a-999b-e394212dbac2;agency;"""King County Metro"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Seattle, WA""}";26994731-0cbf-402f-831a-955a985b4c70;;daily;;2025-11-20 01:34:09.976871+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for King County Metro;2025-11-20 01:34:09.976871+00;2025-11-20 01:34:09.976871+00;2babc540-acbb-4012-a198-971125628657
bc3fd053-d3b9-4354-95fb-83ed4368f658;agency;"""Massachusetts Bay Transportation Authority"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Boston, MA""}";08330a81-ea96-4cab-b13d-7275a67feff8;;daily;;2025-11-20 01:34:10.214983+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for Massachusetts Bay Transportation Authority;2025-11-20 01:34:10.214983+00;2025-11-20 01:34:10.214983+00;2babc540-acbb-4012-a198-971125628657
077ecdc4-aae1-4f5e-898f-b75e9761f262;agency;"""Massachusetts Bay Transportation Authority"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Boston, MA""}";08330a81-ea96-4cab-b13d-7275a67feff8;;daily;;2025-11-20 01:34:10.444406+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Massachusetts Bay Transportation Authority;2025-11-20 01:34:10.444406+00;2025-11-20 01:34:10.444406+00;2babc540-acbb-4012-a198-971125628657
0ad0f16d-57a1-49fd-9341-c8398f140215;agency;"""MTA"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Baltimore, MD""}";64ae4edd-124c-4e89-a3a9-5147db9517ae;;daily;;2025-11-20 01:34:11.162818+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for MTA;2025-11-20 01:34:11.162818+00;2025-11-20 01:34:11.162818+00;2babc540-acbb-4012-a198-971125628657
