id;title;agency_id;provider_id;article_id;notes;created_at;updated_at;document_url;document_file_path
ac0eba71-dce6-4461-ac3a-ee9d57bcdedf;Request For Proposal 2026-07 for: Paratransit Demand Response Services ADA Complementary A-Ride and GoldRide;;9a5222bc-a31e-4d7a-99d6-93d9a6da6a8f;;;2025-11-08 01:12:29.652515+00;2025-11-09 21:50:20.108889+00;;
72b9dcd2-8fae-48c4-9be6-6f34435768e2;Non-Emergency Medical Transportation;86b61b4f-d6b9-4c60-96c3-76688c13ec5b;;;"Overview

Details: County of Buncombe
Attribute: Jurisdiction
Details: North Carolina

Details: https://evp.nc.gov/solicitations/details/?id=d1d36a6d-63be-f011-bbd3-001dd80c2969

Timeline
Milestone: Posted
Date & Time: Nov 9, 2025 at 11:00 PM CST

Milestone: Updated
Date & Time: Nov 9, 2025 at 1:00 PM CST

Milestone: Due
Date & Time: Dec 16, 2025 at 1:00 PM CST

Description
The County of Buncombe is seeking proposals from qualified vendors to provide Non-Emergency Medical Transportation (NEMT) services for Medicaid recipients.

Objective
Ensure coordinated and reliable transportation to and from healthcare providers, adhering to specific requirements including:

Vendor experience
Pricing
Compliance with federal regulations

Purpose
This service is crucial for facilitating access to medical care for individuals who may otherwise face transportation barriers.

Key Dates
Proposal Deadline: December 16, 2025
Expected Contract Commencement: July 1, 2026

Additional Resources
Interested vendors can find more details in the Request for Proposal document available at the original source link.";2025-11-12 17:47:24.2186+00;2025-11-12 17:50:30.759114+00;https://evp.nc.gov/solicitations/details/?id=d1d36a6d-63be-f011-bbd3-001dd80c2969;
b98b10f9-54e9-4d9e-b27a-b94149228918;FLEET MAINTENANCE MANAGEMENT SOFTWARE;b18c91cf-c338-4c28-80e4-804f188500f8;;;"Procurement Opportunity Overview

---

Contracting Authority

* Buyer: City of Appleton, Valley Transit  
* Jurisdiction: Wisconsin  
* Source Documentation: VendorNet (link provided in the original document)

---

Classification Codes

The procurement is categorized under the following NIGP codes:

* 55090 - Transportation Systems, Intelligent (An automated information system which provides traffic management, communications, and analysis of data as a minimum)  
* 93649 - Intelligent Transportation Systems Equipment Maintenance and Repair  
* 55700 - MASS TRANSPORTATION, TRANSIT BUS ACCESSORIES AND PARTS  
* 92032 - Intelligent Transportation System (ITS) Software, Including Design, Development, and Maintenance Services

---

**Milestone**	**Date**	**Time**
Posted	10/30/2025	12:00 AM CDT
Updated	10/30/2025	12:00 AM CDT
Proposals Due	12/3/2025	9:00 AM CST

---

Project Description

Scope of Work

The City of Appleton, operating through Valley Transit, is soliciting proposals for a comprehensive Fleet Maintenance Management Software (FMS) solution. The system will manage the agency's fleet composition, which consists of:

* 28 heavy-duty buses  
* 8 non-revenue vehicles

System Requirements

The selected vendor must deliver a turn-key system with the following capabilities:

* Accommodate future fleet expansion  
* Support zero-emission vehicles  
* Integrate with existing systems: FleetWatch, TransTrack

Project Objectives

This procurement aims to:

* Enhance operational efficiency  
* Ensure robust data management

Submission Requirements

Interested vendors must submit proposals including:

* Transmittal letter  
* Cost proposal  
* Compliance matrix

Proposal Deadline: 10:00 AM CST on December 3, 2025

Additional Information

Further details are available in the RFP, accessible through Valley Transit's website and the provided source link.

---

Contact Information

Primary Point of Contact:

* Name: Kristin Stohl  
* Phone: (920) 832-1009  
* Email: kristin.stohl@appletonwi.gov

---";2025-11-12 18:27:48.46565+00;2025-11-12 18:27:48.46565+00;https://vendornet.wi.gov/Bid.aspx?Id=6236a322-acb5-f011-9069-00505684483d&name=;
924c484b-060e-46ca-9a64-3bd113261e9a;Downtown Parking Management Services;;;;"Downtown Parking Management Services

---

Status

* Posted
* Jurisdiction: Texas  
* Original Source: TX SmartBuy

---

Timeline

1. Posted: Nov 6, 2025 at 11:00 PM CST  
2. Updated: Nov 6, 2025 at 11:00 PM CST  
3. Due: Dec 10, 2025 at 1:30 PM CST  

---

Description

AI Summary

The University of Texas at San Antonio (UTSA) is seeking a qualified Parking Management Company to provide management services for University-owned parking lots on the Downtown Campus. The procurement aims to ensure efficient operations, admissions, and supervision of parking facilities, which are critical for maintaining accessibility and order in the campus environment.

Interested vendors must submit their bids electronically through the UTSA RowdyExchange Sourcing Portal, with all inquiries directed to Karen Krueger Guerrero at karen.kruegerguerrero@utsa.edu. For further details, including solicitation documents, vendors can visit the UTSA website and are encouraged to register for the bidding process.

---

Point(s) of Contact

* Karen Krueger Guerrero";2025-11-12 18:30:30.124031+00;2025-11-12 18:30:30.124031+00;https://www.txsmartbuy.gov/esbd/743-2026-RFP-1400;
47a30e95-d63a-4ca1-a96a-8487d229cab7;14 & 36 Passenger School Buses;;;;"
Overview

Status: Posted

Jurisdiction: Texas

Original Source: https://www.txsmartbuy.gov/esbd/6-391-001

Timeline

1. Posted Nov 5, 2025 at 11:00 PM CST
2. Updated Nov 5, 2025 at 11:00 PM CST
3. Due Nov 25, 2025 at 2:00 PM CST

Description

AI Summary

The Texas School for the Deaf (TSD) is soliciting bids for the procurement of three 2026 integrated conventional school buses, specifically two 14-passenger buses and one 36-passenger bus. The procurement requires adherence to detailed specifications, including minimum wheelbases, gross vehicle weight ratings (GVWRs), automatic transmissions, diesel engines, and various safety features such as collision mitigation systems and Angel Trax camera systems, all of which must meet or exceed the 2018 Texas School Bus Specification document. These buses are essential for providing safe and reliable transportation for students, highlighting the importance of compliance with state regulations and safety standards. Bids are due by November 25, 2025, at 3:00 PM, and inquiries should be directed to David Rivera, Purchasing Manager, for further clarification on the requirements.

Point(s) of Contact

David Rivera  

[(512) 462-5345](tel:(512)462-5345)  

david.rivera@tsd.state.tx.us  ";2025-11-12 18:33:30.453212+00;2025-11-12 18:33:30.453212+00;https://www.txsmartbuy.gov/esbd/6-391-001;
c1551ef7-594d-4d70-9912-846460962a27;Bus Fleet Maintenance and Repair Services;;;;"Overview

Status

Posted

Jurisdiction

Texas

Original Source

https://www.txsmartbuy.gov/esbd/743-2026-RFP-1422

Timeline

1. Posted Nov 10, 2025 at 11:00 PM CST
2. Updated Nov 10, 2025 at 11:00 PM CST
3. Due Dec 1, 2025 at 1:30 PM CST

Description

AI SummaryDescription

The University of Texas at San Antonio (UTSA) is seeking proposals from qualified vendors for Bus Fleet Maintenance and Repair Services under RFP number 743-2026-RFP-1422. The objective of this procurement includes providing comprehensive maintenance and repair services for the University’s shuttle bus fleet, ensuring compliance with industry standards and regulatory requirements, and supporting the operational needs of the Campus Services Parking and Transportation Department. This initiative is crucial for maintaining the efficiency and safety of the University’s transportation services. Interested vendors must submit their proposals electronically through the UTSA RowdyExchange Sourcing Portal, and all inquiries should be directed to Sheila Darcey at Sheila.Darcey@utsa.edu. For assistance with vendor registration, contact sourcing@utsa.edu or call 210-458-4060.

Point(s) of Contact

Sheila Darcey(210) 000-0000sheila.darcey@utsa.edu

";2025-11-12 18:39:30.665896+00;2025-11-12 18:39:30.665896+00;https://www.txsmartbuy.gov/esbd/743-2026-RFP-1422;
4b7eaa45-0a76-4c10-811f-7712d9b44b60;Shuttle Transportation Services;;;;"
Status

Open

Original Source

https://bids.sciquest.com/apps/Router/PublicEvent?CustomerOrg=UWisconsin

Timeline

1. Posted Nov 10, 2025 at 11:10 AM CST
2. Updated Nov 10, 2025 at 11:10 AM CST
3. Due Dec 3, 2025 at 2:00 PM CST

Description

AI Summary

The University of Wisconsin-Eau Claire, on behalf of The Children's Nature Academy, is seeking bids for Shuttle Transportation Services through Request for Bids (RFB) 2026-UWEAU-01138-RFB. The procurement aims to establish a round-trip shuttle service between the UWEC Campus on Park Avenue and The Priory, located at 1190 Priory Road, with the potential for contract extension to other UW System campuses, state agencies, and Wisconsin municipalities. This service is essential for facilitating transportation needs within the university community and its associated entities. Bids opened on November 10, 2025, and must be submitted electronically via the ShopUW+ Sourcing Event Module by December 3, 2025, at 2:00 PM CST. Interested bidders should contact Tami Eisberner for further details and ensure compliance with all submission requirements outlined in the solicitation documents.

Point(s) of Contact

Tami Eisberner - eisbertj@uwec.edu";2025-11-12 18:44:51.88687+00;2025-11-12 18:44:51.88687+00;https://bids.sciquest.com/apps/Router/PublicEvent?CustomerOrg=UWisconsin;
eaa6ec06-369a-4532-a5b2-1caa504c972a;Taxi Services;;;;"Taxi Services

Status: OPEN

Buyer: Arrowhead Regional Medical Center

Jurisdiction: California

Original Source: https://epro.sbcounty.gov/bso/external/bidDetail.sdo?docId=ARMC126-ARMC-6011&external=true&parentUrl=close

Timeline
Posted Nov 7, 2025 at 1:00 PM CST
Updated Nov 7, 2025 at 1:00 PM CST
Due Dec 12, 2025 at 1:00 PM CST

AI Summary
Arrowhead Regional Medical Center (ARMC) is seeking proposals for taxi services to transport patients who lack proper transportation, as part of a Request for Proposal (RFP) designated as ARMC126-ARMC6011. The objective of this procurement is to ensure safe patient discharges and provide transportation to and from ARMC clinics, in compliance with Senate Bill 1152 for homeless patients. The services will cover ARMC's main campus in Colton and its family health centers located in Fontana, Rialto, Redlands, and San Bernardino, with a contract duration of up to five years starting around April 1, 2027. Proposals are due by December 12, 2025, and must be submitted electronically via the County Electronic Procurement Network (ePro). For further inquiries, interested parties can contact Veronica Pedace.

Point(s) of Contact: Veronica Pedace";2025-11-12 18:47:05.270066+00;2025-11-12 18:47:05.270066+00;https://epro.sbcounty.gov/bso/external/bidDetail.sdo?docId=ARMC126-ARMC-6011&external=true&parentUrl=close;
b0dec0c1-20dc-451e-ad9a-5558a9c577f5;Fleet Management Services;;;;"Fleet Management Services

Overview

Status: open
Buyer: MTA - NYC Transit (NYCT)
Jurisdiction: New York
Original Source: https://www.nyscr.ny.gov/business/adsPubView.cfm?ID=A3BEBD92-6CB0-44E1-8BBC-E58A7E4AFEC2&page=Open%20Ads

Timeline
Posted: Oct 16, 2025 at 12:00 AM CDT
Updated: Oct 16, 2025 at 12:00 AM CDT
Due: Dec 4, 2025 at 1:30 PM CST

AI Summary
The Metropolitan Transportation Authority (MTA) is issuing a Request for Proposal (RFP) for Fleet Management Services on behalf of its various operating agencies, including MTA New York City Transit and MTA Long Island Rail Road. The procurement aims to secure comprehensive fleet management services, which encompass maintenance tracking, repairs, roadside assistance, telematics, and driver safety training, with an annual budget of approximately $23 million across all agencies. These services are critical for the efficient operation and management of the MTA's non-revenue fleets. Interested bidders must register for the pre-bid proposal meeting scheduled for October 29, 2025, and submit their proposals by December 4, 2025, at 2:30 PM. For more information, including bid document access, contact the Procurement Officer at season.brownmerritt@mtahq.org.

Point(s) of Contact
(646) 252-6101
vreplies@nyct.com";2025-11-12 18:51:18.266602+00;2025-11-12 18:51:18.266602+00;https://www.nyscr.ny.gov/business/adsPubView.cfm?ID=A3BEBD92-6CB0-44E1-8BBC-E58A7E4AFEC2&page=Open%20Ads;
8fd097cc-d107-43ab-b535-f6c4e489282b;Non-Emergency Medical Transportation;;;;"
Overview

People

Files

Lifecycle
1

Similar Opportunities
10
Overview
Status
Open
Buyer
Department of Health & Mental Hygiene
Jurisdiction
Maryland
Original Source
https://emma.maryland.gov/page.aspx/en/bpm/process_manage_extranet/85012
Timeline
Posted: Sep 17, 2025 at 10:56 AM CDT
Updated: Oct 3, 2025 at 12:46 PM CDT
Due: Nov 19, 2025 at 11:00 PM CST

AI Summary

The Maryland Department of Health & Mental Hygiene is seeking a qualified contractor to serve as the statewide administrator for the non-emergency medical transportation (NEMT) program. The selected contractor will be responsible for providing a comprehensive range of NEMT services, which includes developing and maintaining an IT system, managing operational processes such as screening requests, prior authorization, scheduling, and quality assurance oversight to ensure eligible Medicaid participants have access to necessary transportation services. This program is crucial for facilitating access to covered Medicaid services for participants, thereby enhancing their healthcare experience. Interested parties should contact Lisa Brown for further details regarding the procurement process.

Point(s) of Contact: Lisa Brown";2025-11-12 19:38:02.722829+00;2025-11-12 19:38:02.722829+00;https://emma.maryland.gov/page.aspx/en/bpm/process_manage_extranet/85012;
