id;agency_id;search_run_id;title;description;opportunity_type;source_url;source_type;deadline;estimated_value;contact_info;extracted_data;confidence_score;is_verified;verified_at;verified_by;status;created_at;updated_at
fea25f97-a259-4038-9b6e-f34235b66c47;df7a0939-59f0-4af3-b73a-9c7e311c3875;18481289-1766-41d3-a89b-58569aaccb18;Contract 6535, The Ronkonkoma Train Wash Facility Upgrades and New Wastewater Sewer Connection;Bid results for upgrades to the Ronkonkoma Train Wash Facility and a new wastewater sewer connection.;bid;https://www.mta.info/agency/construction-and-development/contracting/bid-results;agency_website;2025-12-05 00:00:00+00;9444291;"{""email"":""contracts@mtacd.org"",""name"":null,""phone"":null}";{};0.9;false;;;active;2025-12-17 23:09:04.802244+00;2025-12-17 23:09:04.802244+00
b8f74e50-bc5c-4501-b2aa-eabf37302c6b;df7a0939-59f0-4af3-b73a-9c7e311c3875;18481289-1766-41d3-a89b-58569aaccb18;Contract C80284, Rehabilitation, Painting and Structural Repairs of Stapleton Viaduct, 7 SIR Bridges, and 7 SIR Stations;Bid results for rehabilitation, painting, and structural repairs of the Stapleton Viaduct, 7 SIR Bridges, and 7 SIR Stations.;bid;https://www.mta.info/agency/construction-and-development/contracting/bid-results;agency_website;2025-11-25 00:00:00+00;75679947;"{""email"":""contracts@mtacd.org"",""name"":null,""phone"":null}";{};0.9;false;;;active;2025-12-17 23:09:04.802244+00;2025-12-17 23:09:04.802244+00
b152f846-d12c-4770-8999-59faa0a0c3ab;df7a0939-59f0-4af3-b73a-9c7e311c3875;18481289-1766-41d3-a89b-58569aaccb18;C33943, DCE Car Washer Component Repairs;Bid results for DCE Car Washer Component Repairs.;bid;https://www.mta.info/agency/construction-and-development/contracting/bid-results;agency_website;2025-11-21 00:00:00+00;3;"{""email"":""contracts@mtacd.org"",""name"":null,""phone"":null}";{};0.9;false;;;active;2025-12-17 23:09:04.802244+00;2025-12-17 23:09:04.802244+00
c578629e-9a99-4d2d-8c8d-f5a2c8141077;df7a0939-59f0-4af3-b73a-9c7e311c3875;18481289-1766-41d3-a89b-58569aaccb18;C35336 Component Repairs - Coney Island Overhaul Facility;Bid results for component repairs at the Coney Island Overhaul Facility.;bid;https://www.mta.info/agency/construction-and-development/contracting/bid-results;agency_website;2025-11-20 00:00:00+00;25527086;"{""email"":""contracts@mtacd.org"",""name"":null,""phone"":null}";{};0.9;false;;;active;2025-12-17 23:09:04.802244+00;2025-12-17 23:09:04.802244+00
07282480-aaa4-432c-bb03-d0db2b58b43d;df7a0939-59f0-4af3-b73a-9c7e311c3875;18481289-1766-41d3-a89b-58569aaccb18;Contract C34938R, Structural Repair and Painting from 9th Avenue Portal to Stillwell Terminal, West End Line, in the Borough of Brooklyn (BMT);Bid results for structural repair and painting from 9th Avenue Portal to Stillwell Terminal, West End Line, in the Borough of Brooklyn (BMT).;bid;https://www.mta.info/agency/construction-and-development/contracting/bid-results;agency_website;2025-11-19 00:00:00+00;309233742;"{""email"":""contracts@mtacd.org"",""name"":null,""phone"":null}";{};0.9;false;;;active;2025-12-17 23:09:04.802244+00;2025-12-17 23:09:04.802244+00
b92dd284-ec79-4915-a169-631d5fed9321;df7a0939-59f0-4af3-b73a-9c7e311c3875;18481289-1766-41d3-a89b-58569aaccb18;TN -9A;Bid results for a solicitation with contract ID TN-9A.;bid;https://www.mta.info/agency/construction-and-development/contracting/bid-results;agency_website;2025-11-18 00:00:00+00;149674992;"{""email"":""contracts@mtacd.org"",""name"":null,""phone"":null}";{};0.9;false;;;active;2025-12-17 23:09:04.802244+00;2025-12-17 23:09:04.802244+00
5facc6c4-fd6e-44c0-a961-39ecb44dd15e;df7a0939-59f0-4af3-b73a-9c7e311c3875;18481289-1766-41d3-a89b-58569aaccb18;Contract A36203, 9th Avenue Station Structural Component Repair & Track Replacement, West End Line (BMT), in the Borough of Brooklyn;Bid results for structural component repair and track replacement at 9th Avenue Station, West End Line (BMT), in the Borough of Brooklyn.;bid;https://www.mta.info/agency/construction-and-development/contracting/bid-results;agency_website;2025-10-30 00:00:00+00;25869015;"{""email"":""contracts@mtacd.org"",""name"":null,""phone"":null}";{};0.9;false;;;active;2025-12-17 23:09:04.802244+00;2025-12-17 23:09:04.802244+00
7e0667c7-8cd9-44d3-ae11-12dd97b7660a;2fc17da0-277a-42f8-b519-ae3cd8039e11;9b23e010-dfcf-4234-b187-fae7dc8f5780;Ridgewood Train Station-Historic Plaque Installation contract;Contract for the installation of historic plaques at the Ridgewood Train Station.;contract_award;https://www.njtransit.com/procurement/notice-of-awards/archive;agency_website;;148585;;;0.9;false;;;active;2025-12-17 23:10:46.645749+00;2025-12-17 23:10:46.645749+00
5bba165b-1ad4-469d-a050-561433a76308;2fc17da0-277a-42f8-b519-ae3cd8039e11;9b23e010-dfcf-4234-b187-fae7dc8f5780;Oversight Advisory Services for Mason and Building 9 Substations contract;Contract for oversight advisory services related to the Mason and Building 9 Substations.;contract_award;https://www.njtransit.com/procurement/notice-of-awards/archive;agency_website;;2079318.5;;;0.9;false;;;active;2025-12-17 23:10:46.645749+00;2025-12-17 23:10:46.645749+00
25138233-00c9-4dd1-be30-5ee76ddeb3f3;2fc17da0-277a-42f8-b519-ae3cd8039e11;9b23e010-dfcf-4234-b187-fae7dc8f5780;North Jersey Coast Line Mile Post 12.70, Culvert Replacement contract;Contract for the replacement of a culvert on the North Jersey Coast Line at Mile Post 12.70.;contract_award;https://www.njtransit.com/procurement/notice-of-awards/archive;agency_website;;2010010;;;0.9;false;;;active;2025-12-17 23:10:46.645749+00;2025-12-17 23:10:46.645749+00
171818a8-6f35-4094-891b-6c55f7fa7800;2fc17da0-277a-42f8-b519-ae3cd8039e11;9b23e010-dfcf-4234-b187-fae7dc8f5780;Purchase of One (1) Tennant M-M20 DIESEL RIDE ON SWEEPER SCRUBBER contract;Contract for the purchase of one Tennant M-M20 Diesel Ride On Sweeper Scrubber.;contract_award;https://www.njtransit.com/procurement/notice-of-awards/archive;agency_website;;69187.25;;;0.9;false;;;active;2025-12-17 23:10:46.645749+00;2025-12-17 23:10:46.645749+00
7996a424-c7b5-458c-b23b-4296dcf54878;2fc17da0-277a-42f8-b519-ae3cd8039e11;9b23e010-dfcf-4234-b187-fae7dc8f5780;Siemens ACSES II Simulation Software contract;Contract for Siemens ACSES II Simulation Software.;contract_award;https://www.njtransit.com/procurement/notice-of-awards/archive;agency_website;;132300;;;0.9;false;;;active;2025-12-17 23:10:46.645749+00;2025-12-17 23:10:46.645749+00
