id;agency_id;provider_id;agency_name;ntd_id;provider_name;contractee_operator_name;contractee_ntd_id;contractee_agency_id;reporter_type;reporting_module;mode;tos;type_of_contract;primary_feature;reporter_contractual_position;service_captured;other_party;fares_retained_by;other_public_assets_provided;other_public_assets_provided_desc;buyer_supplies_vehicles_to_seller;buyer_provides_maintenance_facility_to_seller;voms_under_contract;months_seller_operated_in_fy;pt_fare_revenues_passenger_fees;passenger_out_of_pocket_expenses;direct_payment_agency_subsidy;contract_capital_leasing_expenses;other_operating_expenses_incurred_by_the_buyer;total_modal_expenses;other_reconciling_item_expenses_incurred_by_the_buyer;fare_revenues_earned;total_operating_expenses;unlinked_passenger_trips;vehicle_revenue_hours;passenger_miles;vehicle_revenue_miles;cost_per_hour;passengers_per_hour;cost_per_passenger;cost_per_passenger_mile;created_at;updated_at
85a3016c-b776-45a0-99bb-86a21cd6bb12;36c2c23f-7aa5-4e79-a040-3815177f21fa;;Ben Franklin Transit;18;;;;;Full Reporter;;DR;;;;;;;;;;;;;;;;;;;;;228898;14658323;240946;104327;1923473;1749832;140.5036;2.3095;60.8365;7.6208;2025-11-12 19:35:27.495921+00;2025-11-12 19:35:27.495921+00
dcf45e27-eed2-494d-ac73-1ac7808ca179;36c2c23f-7aa5-4e79-a040-3815177f21fa;;Ben Franklin Transit;18;;Via Transportation;Entity that Does Not Report to NTD;;Full Reporter;Urban;DR;PT;Competitively-Bid Contract;The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service;The Reporter is the Buyer;In This Report;;Buyer;N;;;;17;12;14810;0;3319553;67895;175311;3426969;0;14810;5112448;170506;59921;927139;1006778;85.3198;2.8455;29.984;5.5142;2025-11-12 19:35:27.495921+00;2025-11-12 19:35:27.495921+00
59ab6a5f-a449-4e7d-9dd2-bda2ce5e3a1e;36c2c23f-7aa5-4e79-a040-3815177f21fa;;Ben Franklin Transit;18;;The ARC of the Tri-Cities;Entity that Does Not Report to NTD;;Full Reporter;Urban;DR;PT;Competitively-Bid Contract;The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service;The Reporter is the Buyer;In This Report;;Buyer;;;;;22;12;0;0;1510124;0;175355;1685479;0;14810;5112448;170506;59921;927139;1006778;85.3198;2.8455;29.984;5.5142;2025-11-12 19:35:27.495921+00;2025-11-12 19:35:27.495921+00
f1776d3b-9788-4fed-b05a-9ceb93b74060;36c2c23f-7aa5-4e79-a040-3815177f21fa;;Ben Franklin Transit;18;;;;;Full Reporter;;MB;;;;;;;;;;;;;;;;;;;;;764113;29367652;2786983;223592;12781348;3569623;131.3448;12.4646;10.5374;2.2977;2025-11-12 19:35:27.495921+00;2025-11-12 19:35:27.495921+00
bd584597-22fa-4c12-97c5-ddace2b21795;36c2c23f-7aa5-4e79-a040-3815177f21fa;;Ben Franklin Transit;18;;;;;Full Reporter;;VP;;;;;;;;;;;;;;;;;;;;;1009222;2041054;328141;46663;11352016;2066327;43.7403;7.0321;6.2201;0.1798;2025-11-12 19:35:27.495921+00;2025-11-12 19:35:27.495921+00
dde0c777-38a8-439a-a003-7435e7cde95c;25df5555-4594-4362-af73-353e3e6af74e;;Intercity Transit;19;;;;;Full Reporter;;CB;;;;;;;;;;;;;;;;;;;;;;2991642;155507;15752;2554115;372133;189.9214;9.8722;19.238;1.1713;2025-11-12 19:35:27.495921+00;2025-11-12 19:35:27.495921+00
c62d807b-65fc-48ec-97b8-0cb81e08aa1f;25df5555-4594-4362-af73-353e3e6af74e;;Intercity Transit;19;;;;;Full Reporter;;DR;;;;;;;;;;;;;;;;;;;;;;17225012;137998;78361;804710;812190;219.8161;1.7611;124.8207;21.4052;2025-11-12 19:35:27.495921+00;2025-11-12 19:35:27.495921+00
a4165392-2988-4b18-ab06-c5b3ed49265f;25df5555-4594-4362-af73-353e3e6af74e;;Intercity Transit;19;;;;;Full Reporter;;MB;;;;;;;;;;;;;;;;;;;;;17133;46573420;4087404;236495;15187369;3251046;196.9319;17.2833;11.3944;3.0666;2025-11-12 19:35:27.495921+00;2025-11-12 19:35:27.495921+00
38ca07b2-e62a-4547-a8f1-03bcfa58b0b5;25df5555-4594-4362-af73-353e3e6af74e;;Intercity Transit;19;;;;;Full Reporter;;VP;;;;;;;;;;;;;;;;;;;;;456805;2973114;208164;73959;7358241;2612749;40.1995;2.8146;14.2826;0.4041;2025-11-12 19:35:27.495921+00;2025-11-12 19:35:27.495921+00
38cf4438-108c-4a40-937d-40d5c4130a2c;e406f41c-6fa1-48bb-bd1a-e0ce76d881ef;;Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit;20;;;;;Full Reporter;;DR;;;;;;;;;;;;;;;;;;;;;171276;19360772;263324;89628;2055807;1348846;216.0125;2.938;73.5245;9.4176;2025-11-12 19:35:27.495921+00;2025-11-12 19:35:27.495921+00
